max_depth,net_profit,gross_revenue,cost,died,time_used,bombs_used,food_used,rocks_broken,monsters_killed,seed,cell_id,luck_level,experiment_id
20,390.89999999999986,1987.0,0,True,135.5999999999999,0,0,75,3,20000000,pickaxe_nofood,4,2
23,-42.40000000000009,1368.0,0,True,203.0999999999998,0,0,108,3,20000001,pickaxe_nofood,4,2
13,81.5,1545.0,0,True,194.79999999999973,0,0,110,4,20000002,pickaxe_nofood,4,2
11,153.5999999999999,1648.0,0,True,161.29999999999973,0,0,93,4,20000003,pickaxe_nofood,4,2
6,-151.60000000000002,1212.0,0,True,134.5999999999999,0,0,77,3,20000004,pickaxe_nofood,4,2
12,-111.0,1270.0,0,True,174.0999999999999,0,0,102,3,20000005,pickaxe_nofood,4,2
3,-363.70000000000005,909.0,0,True,119.59999999999968,0,0,71,3,20000006,pickaxe_nofood,4,2
12,216.5999999999999,1738.0,0,True,192.0999999999998,0,0,110,3,20000007,pickaxe_nofood,4,2
9,-134.10000000000002,1237.0,0,True,147.59999999999968,0,0,83,3,20000008,pickaxe_nofood,4,2
16,211.69999999999982,1731.0,0,True,242.5999999999998,0,0,141,3,20000009,pickaxe_nofood,4,2
14,93.39999999999986,1562.0,0,True,156.79999999999973,0,0,90,4,20000010,pickaxe_nofood,4,2
10,-808.2,274.0,0,True,61.09999999999991,0,0,28,3,20000011,pickaxe_nofood,4,2
38,973.9999999999998,2820.0,0,True,241.0999999999999,0,0,136,3,20000012,pickaxe_nofood,4,2
11,-97.70000000000005,1289.0,0,True,128.5999999999999,0,0,73,3,20000013,pickaxe_nofood,4,2
21,539.3,2199.0,0,True,243.0999999999999,0,0,136,3,20000014,pickaxe_nofood,4,2
22,486.0999999999999,2123.0,0,True,246.0999999999999,0,0,146,3,20000015,pickaxe_nofood,4,2
17,467.1999999999998,2096.0,0,True,249.0999999999998,0,0,148,3,20000016,pickaxe_nofood,4,2
25,149.39999999999986,1642.0,0,True,182.29999999999973,0,0,103,4,20000017,pickaxe_nofood,4,2
14,52.799999999999955,1504.0,0,True,188.5999999999998,0,0,109,3,20000018,pickaxe_nofood,4,2
10,-190.80000000000007,1156.0,0,True,110.59999999999991,0,0,61,3,20000019,pickaxe_nofood,4,2
9,115.09999999999991,1593.0,0,True,181.0999999999998,0,0,104,3,20000020,pickaxe_nofood,4,2
14,252.29999999999995,1789.0,0,True,253.0999999999999,0,0,148,3,20000021,pickaxe_nofood,4,2
5,-585.6,592.0,0,True,52.59999999999991,0,0,25,3,20000022,pickaxe_nofood,4,2
7,-152.30000000000007,1211.0,0,True,118.59999999999991,0,0,65,3,20000023,pickaxe_nofood,4,2
1,-713.0,410.0,0,True,57.09999999999991,0,0,32,3,20000024,pickaxe_nofood,4,2
11,283.0999999999999,1833.0,0,True,109.59999999999991,0,0,59,3,20000025,pickaxe_nofood,4,2
34,603.6999999999998,2291.0,0,True,301.0999999999999,0,0,168,3,20000026,pickaxe_nofood,4,2
6,190.0,1700.0,0,True,137.59999999999968,0,0,79,3,20000027,pickaxe_nofood,4,2
10,-477.1,747.0,0,True,68.79999999999973,0,0,34,4,20000028,pickaxe_nofood,4,2
4,1.6999999999999318,1431.0,0,True,120.09999999999991,0,0,70,3,20000029,pickaxe_nofood,4,2
23,1002.6999999999998,2861.0,0,True,139.0999999999999,0,0,72,3,20000030,pickaxe_nofood,4,2
9,-463.1,767.0,0,True,121.09999999999991,0,0,68,3,20000031,pickaxe_nofood,4,2
7,375.5,1965.0,0,True,177.79999999999973,0,0,104,4,20000032,pickaxe_nofood,4,2
3,-454.70000000000005,779.0,0,True,80.59999999999991,0,0,45,3,20000033,pickaxe_nofood,4,2
13,609.3,2299.0,0,True,209.29999999999973,0,0,121,4,20000034,pickaxe_nofood,4,2
9,1144.1,3063.0,0,True,141.79999999999973,0,0,80,4,20000035,pickaxe_nofood,4,2
19,485.39999999999986,2122.0,0,True,170.0999999999999,0,0,94,3,20000036,pickaxe_nofood,4,2
5,-529.6,672.0,0,True,119.79999999999973,0,0,68,4,20000037,pickaxe_nofood,4,2
9,-108.90000000000009,1273.0,0,True,148.0999999999999,0,0,82,3,20000038,pickaxe_nofood,4,2
8,-451.9000000000001,783.0,0,True,101.09999999999968,0,0,56,3,20000039,pickaxe_nofood,4,2
13,182.29999999999995,1689.0,0,True,135.59999999999968,0,0,75,3,20000040,pickaxe_nofood,4,2
24,327.89999999999986,1897.0,0,True,194.5999999999998,0,0,109,3,20000041,pickaxe_nofood,4,2
13,141.69999999999982,1631.0,0,True,193.5999999999999,0,0,115,3,20000042,pickaxe_nofood,4,2
12,-323.1,967.0,0,True,83.09999999999991,0,0,44,3,20000043,pickaxe_nofood,4,2
12,570.8,2244.0,0,True,167.09999999999968,0,0,96,3,20000044,pickaxe_nofood,4,2
4,-728.4000000000001,388.0,0,True,75.09999999999968,0,0,40,3,20000045,pickaxe_nofood,4,2
15,828.3999999999999,2612.0,0,True,196.79999999999973,0,0,114,4,20000046,pickaxe_nofood,4,2
22,746.5,2495.0,0,True,241.0999999999999,0,0,140,3,20000047,pickaxe_nofood,4,2
19,-448.4000000000001,788.0,0,True,139.5999999999999,0,0,75,3,20000048,pickaxe_nofood,4,2
3,-363.0,910.0,0,True,91.09999999999991,0,0,52,3,20000049,pickaxe_nofood,4,2
8,637.3,2339.0,0,True,179.0999999999998,0,0,104,3,20000050,pickaxe_nofood,4,2
17,-267.1,1047.0,0,True,141.29999999999973,0,0,77,4,20000051,pickaxe_nofood,4,2
