hypothesis,group,seed,cell_id,luck_level,experiment_id,max_depth,net_profit
H3,experiment_1,10000000,pickaxe_nofood,1,1,2.0,-504.4
H3,experiment_1,10000001,pickaxe_nofood,1,1,11.0,601.5999999999999
H3,experiment_1,10000002,pickaxe_nofood,1,1,5.0,-490.4
H3,experiment_1,10000003,pickaxe_nofood,1,1,10.0,1035.6
H3,experiment_1,10000004,pickaxe_nofood,1,1,13.0,-524.7
H3,experiment_1,10000005,pickaxe_nofood,1,1,9.0,-556.2
H3,experiment_1,10000006,pickaxe_nofood,1,1,21.0,951.6
H3,experiment_1,10000007,pickaxe_nofood,1,1,8.0,-510.00000000000006
H3,experiment_1,10000008,pickaxe_nofood,1,1,24.0,-101.20000000000005
H3,experiment_1,10000009,pickaxe_nofood,1,1,3.0,-279.0
H3,experiment_1,10000010,pickaxe_nofood,1,1,13.0,-238.4000000000001
H3,experiment_1,10000011,pickaxe_nofood,1,1,14.0,980.9999999999998
H3,experiment_1,10000012,pickaxe_nofood,1,1,11.0,365.0
H3,experiment_1,10000013,pickaxe_nofood,1,1,10.0,643.5999999999999
H3,experiment_1,10000014,pickaxe_nofood,1,1,9.0,290.0999999999999
H3,experiment_1,10000015,pickaxe_nofood,1,1,3.0,-584.9000000000001
H3,experiment_1,10000016,pickaxe_nofood,1,1,2.0,-541.5
H3,experiment_1,10000017,pickaxe_nofood,1,1,6.0,155.69999999999982
H3,experiment_1,10000018,pickaxe_nofood,1,1,6.0,-541.5
H3,experiment_1,10000019,pickaxe_nofood,1,1,3.0,-262.20000000000005
H3,experiment_1,10000020,pickaxe_nofood,1,1,59.0,4526.5
H3,experiment_1,10000021,pickaxe_nofood,1,1,3.0,419.5999999999999
H3,experiment_1,10000022,pickaxe_nofood,1,1,2.0,-760.6
H3,experiment_1,10000023,pickaxe_nofood,1,1,4.0,-556.2
H3,experiment_1,10000024,pickaxe_nofood,1,1,26.0,1471.0
H3,experiment_1,10000025,pickaxe_nofood,1,1,10.0,241.0999999999999
H3,experiment_1,10000026,pickaxe_nofood,1,1,12.0,1068.5
H3,experiment_1,10000027,pickaxe_nofood,1,1,4.0,-241.9000000000001
H3,experiment_1,10000028,pickaxe_nofood,1,1,9.0,517.5999999999999
H3,experiment_1,10000029,pickaxe_nofood,1,1,13.0,-471.5
H3,experiment_1,10000030,pickaxe_nofood,1,1,4.0,-315.4000000000001
H3,experiment_1,10000031,pickaxe_nofood,1,1,20.0,314.5999999999999
H3,experiment_1,10000032,pickaxe_nofood,1,1,5.0,-416.2000000000001
H3,experiment_1,10000033,pickaxe_nofood,1,1,26.0,-152.30000000000007
H3,experiment_1,10000034,pickaxe_nofood,1,1,14.0,547.6999999999998
H3,experiment_1,10000035,pickaxe_nofood,1,1,5.0,306.89999999999986
H3,experiment_1,10000036,pickaxe_nofood,1,1,13.0,31.799999999999955
H3,experiment_1,10000037,pickaxe_nofood,1,1,22.0,1223.8999999999996
H3,experiment_1,10000038,pickaxe_nofood,1,1,30.0,3986.7999999999993
H3,experiment_1,10000039,pickaxe_nofood,1,1,6.0,1095.7999999999995
H3,experiment_1,10000040,pickaxe_nofood,1,1,13.0,435.6999999999998
H3,experiment_1,10000041,pickaxe_nofood,1,1,17.0,80.09999999999991
H3,experiment_1,10000042,pickaxe_nofood,1,1,15.0,2366.3
H3,experiment_1,10000043,pickaxe_nofood,1,1,4.0,464.3999999999999
H3,experiment_1,10000044,pickaxe_nofood,1,1,6.0,-20.000000000000117
H3,experiment_1,10000045,pickaxe_nofood,1,1,2.0,-458.9000000000001
H3,experiment_1,10000046,pickaxe_nofood,1,1,10.0,666.6999999999998
H3,experiment_1,10000047,pickaxe_nofood,1,1,3.0,-511.4
H3,experiment_1,10000048,pickaxe_nofood,1,1,4.0,322.29999999999995
H3,experiment_1,10000049,pickaxe_nofood,1,1,3.0,-499.50000000000006
H3,experiment_1,10000050,pickaxe_nofood,1,1,11.0,416.8
